,Weight (g),,length (cm),,,,,,,,,,,,,,,,
171_4,0.0246,,,,,,,,,,,,,,,,,,
171_5,0.0234,,,,,,,,,,,,,,,,,,
172_1,0.0159,,,,,,,,,,,,,,,,,,
172_2,0.0086,,,,,,,,,,,,,,,,,,
172_3,0.0153,,,,,,,,,,,,,,,,,,
172_4,0.0208,,,,,,,,,,,,,,,,,,
172_5,0.012,,,,,,,,,,,,,,,,,,
173_1,0.032,,,,,,,,,,,,,,,,,,
173_2,0.0291,,,,,,,,,,,,,,,,,,
173_3,0.0215,,,,,,,,,,,,,,,,,,
173_4,0.0306,,,,,,,,,,,,,,,,,,
173_5,0.022,,,,,,,,,,,,,,,,,,
174_1,0.0255,,,,,,,,,,,,,,,,,,
174_2,0.0326,,,,,,,,,,,,,,,,,,
174_3,0.0224,,,,,,,,,,,,,,,,,,
174_4,0.0382,,,,,,,,,,,,,,,,,,
174_5,0.0236,,,,,,,,,,,,,,,,,,
175_1,0.0175,,,,,,,,,,,,,,,,,,
175_2,0.0098,,,,,,,,,,,,,,,,,,
175_3,0.0228,,,,,,,,,,,,,,,,,,
175_4,0.0079,,,,,,,,,,,,,,,,,,
175_5,0.0148,,,,,,,,,,,,,,,,,,
176_1,0.02666,,,,,,,,,,,,,,,,,,
176_2,0.014,,,,,,,,,,,,,,,,,,
176_3,0.0136,,,,,,,,,,,,,,,,,,
176_4,0.0185,,,,,,,,,,,,,,,,,,
176_5,0.0132,,,,,,,,,,,,,,,,,,
177_1,0.0292,,,,,,,,,,,,,,,,,,
177_2,0.0098,,,,,,,,,,,,,,,,,,
177_3,0.0141,,,,,,,,,,,,,,,,,,
177_4,0.0102,,,,,,,,,,,,,,,,,,
177_5,0.0336,,,,,,,,,,,,,,,,,,
65_3,0,,,,,,,,,,,,,,,,,,
178_1,0.0238,,,,,,,,,,,,,,,,,,
178_2,0.0273,,,,,,,,,,,,,,,,,,
178_3,0.0357,,,,,,,,,,,,,,,,,,
178_4,0.0214,,,,,,,,,,,,,,,,,,
178_5,0.0076,,,,,,,,,,,,,,,,,,
179_1,0.0122,,,,,,,,,,,,,,,,,,
179_2,0.0074,,,,,,,,,,,,,,,,,,
179_3,0.0205,,,,,,,,,,,,,,,,,,
179_4,0.0176,,,,,,,,,,,,,,,,,,
179_5,0.0222,,,,,,,,,,,,,,,,,,
18_2,0.1138,,,,,,,,,,,,,,,,,,
18_3,0.1531,,,,,,,,,,,,,,,,,,
63_1,0,,,,,,,,,,,,,,,,,,
18_4,0.126,,,,,,,,,,,,,,,,,,
180_1,0.0315,,,,,,,,,,,,,,,,,,
180_2,0.0336,,,,,,,,,,,,,,,,,,
180_3,0.0062,,,,,,,,,,,,,,,,,,
180_4,0.0222,,,,,,,,,,,,,,,,,,
68_2,0,,,,,,,,,,,,,,,,,,
180_5,0.0106,,,,,,,,,,,,,,,,,,
181_1,0.0154,,,,,,,,,,,,,,,,,,
181_2,0.017,,,,,,,,,,,,,,,,,,
181_3,0.0155,,,,,,,,,,,,,,,,,,
181_4,0.0142,,,,,,,,,,,,,,,,,,
182_1,0.0095,,,,,,,,,,,,,,,,,,
182_2,0.0151,,,,,,,,,,,,,,,,,,
182_3,0.009,,,,,,,,,,,,,,,,,,
182_4,0.0082,,,,,,,,,,,,,,,,,,
182_5,0.0115,,,,,,,,,,,,,,,,,,
183_1,0.013,,,,,,,,,,,,,,,,,,
183_2,0.0261,,,,,,,,,,,,,,,,,,
